Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-04-24,2014,4,24,Thursday,16,2014-16,329.67,337.4,322.95,337.15,9293700,337.15,0.038726994405799964,323.6414285714286,348.36620000000016
2014-04-25,2014,4,25,Friday,16,2014-16,316.25,316.49,302.71,303.83,16180200,303.83,-0.09882843816526665,322.2721428571429,347.4578000000002
2014-04-28,2014,4,28,Monday,17,2014-17,304.0,304.39,288.0,296.58,14479800,296.58,-0.02386202916240332,320.75928571428574,346.24540000000025
2014-04-29,2014,4,29,Tuesday,17,2014-17,296.44,301.84,290.45,300.38,6509300,300.38,0.01281279412837577,318.8528571428572,345.1060000000003
2014-04-30,2014,4,30,Wednesday,17,2014-17,298.1,304.56,298.1,304.13,4088600,304.13,0.012484186493914473,316.8757142857143,344.11560000000026
2014-05-01,2014,5,1,Thursday,17,2014-17,304.13,310.48,304.0,307.89,4328600,307.89,0.012363166097583145,316.2171428571429,343.32580000000024
2014-05-02,2014,5,2,Friday,17,2014-17,310.42,313.29,304.31,308.01,3995100,308.01,0.00038973370839756605,315.95142857142866,342.49000000000024
2014-05-05,2014,5,5,Monday,18,2014-18,306.37,310.23,305.0,310.05,2519900,310.05,0.006623090038197166,315.53285714285727,341.75580000000025
2014-05-06,2014,5,6,Tuesday,18,2014-18,309.53,309.81,297.04,297.38,4682300,297.38,-0.040864323202671526,314.197142857143,340.6678000000003
2014-05-07,2014,5,7,Wednesday,18,2014-18,295.56,296.4,286.68,292.71,7015200,292.71,-0.015703858198451104,311.9850000000001,339.35560000000027
2014-05-08,2014,5,8,Thursday,18,2014-18,290.82,295.88,287.23,288.32,3848200,288.32,-0.014997725595346179,309.3714285714287,337.9260000000003
2014-05-09,2014,5,9,Friday,18,2014-18,290.57,293.68,284.38,292.24,4063000,292.24,0.013595944820257166,306.61214285714294,336.5682000000003
2014-05-12,2014,5,12,Monday,19,2014-19,294.3,303.34,294.16,302.86,3729600,302.86,0.036339979031173364,304.72214285714296,335.38340000000034
2014-05-13,2014,5,13,Tuesday,19,2014-19,302.6,305.6,300.75,304.64,3509900,304.64,0.005877400062635374,303.29785714285725,334.28060000000033
2014-05-14,2014,5,14,Wednesday,19,2014-19,302.5,304.64,296.66,297.62,3323300,297.62,-0.023043655441493116,300.4742857142859,332.95500000000027
2014-05-15,2014,5,15,Thursday,19,2014-19,298.02,299.2,290.38,295.19,4295100,295.19,-0.008164749397379878,299.857142857143,331.4114000000003
2014-05-16,2014,5,16,Friday,19,2014-19,292.8,298.88,291.55,297.7,3636800,297.7,0.00850303108122108,299.937142857143,329.9222000000003
2014-05-19,2014,5,19,Monday,20,2014-20,295.76,299.0,293.81,296.76,2284200,296.76,-0.003157549220228262,299.67857142857156,328.41620000000023
2014-05-20,2014,5,20,Tuesday,20,2014-20,297.1,304.46,296.75,301.19,4095700,301.19,0.014927862683654647,299.4685714285715,327.0294000000002
2014-05-21,2014,5,21,Wednesday,20,2014-20,302.21,305.96,301.52,305.01,3408800,305.01,0.012683048219576554,299.26285714285723,325.7532000000002
2014-05-22,2014,5,22,Thursday,20,2014-20,305.05,308.54,303.01,304.91,2576800,304.91,-0.0003278781033857481,299.04142857142864,324.43860000000024
2014-05-23,2014,5,23,Friday,20,2014-20,305.46,312.35,304.9,312.24,3052900,312.24,0.024039836293427985,299.1978571428572,323.2532000000003
2014-05-27,2014,5,27,Tuesday,21,2014-21,314.41,314.63,307.38,310.82,4862100,310.82,-0.004547729165282011,300.15785714285715,321.9948000000003
2014-05-28,2014,5,28,Wednesday,21,2014-21,309.5,313.82,307.42,310.16,2726000,310.16,-0.0021234272136829713,301.4042857142857,320.6972000000003
2014-05-29,2014,5,29,Thursday,21,2014-21,310.42,314.87,310.2,313.78,2365500,313.78,0.011671379528132686,303.22285714285715,319.3974000000003
2014-05-30,2014,5,30,Friday,21,2014-21,314.43,314.65,307.57,312.55,4260200,312.55,-0.003919978937833024,304.67357142857145,318.1838000000003
